=> creating model 'resnet34'
=> parameter : Namespace(arch='resnet34', batch_size=128, data='/home/user/winycg/dataset/ImageNet', epoch_prune=1, get_small=True, layer_begin=3, layer_end=3, layer_inter=1, lr=0.1, prefix='2021-12-23-3336', print_freq=5, rate=0.9, resume='/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar', save_dir='./small/resnet34/', skip_downsample=1, use_cuda=True, workers=12)
Compress Rate: 0.9
Layer Begin: 3
Layer End: 3
Layer Inter: 1
Epoch prune: 1
Skip downsample : 1
=> loading checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar'
=> loaded checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar' (epoch 120)
Test: [0/391]	Time 3.114 (3.114)	Loss 0.5225 (0.5225)	Prec@1 87.500 (87.500)	Prec@5 96.094 (96.094)
Test: [5/391]	Time 0.094 (0.589)	Loss 0.2167 (0.5334)	Prec@1 94.531 (85.417)	Prec@5 97.656 (96.354)
Test: [10/391]	Time 0.085 (0.364)	Loss 0.9903 (0.5417)	Prec@1 73.438 (85.582)	Prec@5 91.406 (96.165)
Test: [15/391]	Time 0.085 (0.285)	Loss 0.7611 (0.6949)	Prec@1 75.000 (81.494)	Prec@5 95.312 (95.020)
Test: [20/391]	Time 0.114 (0.239)	Loss 0.7016 (0.7752)	Prec@1 81.250 (79.650)	Prec@5 95.312 (94.196)
Test: [25/391]	Time 0.449 (0.225)	Loss 1.4652 (0.9006)	Prec@1 57.812 (76.502)	Prec@5 87.500 (93.209)
Test: [30/391]	Time 0.080 (0.202)	Loss 1.3168 (0.9184)	Prec@1 75.000 (75.655)	Prec@5 89.062 (93.296)
Test: [35/391]	Time 0.111 (0.188)	Loss 0.3612 (0.8565)	Prec@1 92.969 (77.582)	Prec@5 95.312 (93.728)
Test: [40/391]	Time 0.095 (0.184)	Loss 0.8279 (0.8213)	Prec@1 82.031 (78.430)	Prec@5 90.625 (93.998)
Test: [45/391]	Time 0.095 (0.175)	Loss 0.7015 (0.8344)	Prec@1 78.906 (78.261)	Prec@5 96.875 (93.852)
Test: [50/391]	Time 0.092 (0.177)	Loss 0.3375 (0.8455)	Prec@1 91.406 (78.110)	Prec@5 98.438 (93.781)
Test: [55/391]	Time 0.080 (0.171)	Loss 0.5528 (0.8083)	Prec@1 84.375 (78.990)	Prec@5 96.094 (94.029)
Test: [60/391]	Time 0.081 (0.164)	Loss 0.9725 (0.7942)	Prec@1 78.125 (79.367)	Prec@5 91.406 (94.160)
Test: [65/391]	Time 0.110 (0.161)	Loss 1.5341 (0.8147)	Prec@1 53.906 (78.646)	Prec@5 91.406 (94.129)
Test: [70/391]	Time 0.101 (0.157)	Loss 0.8589 (0.8197)	Prec@1 68.750 (78.378)	Prec@5 97.656 (94.278)
Test: [75/391]	Time 0.083 (0.155)	Loss 1.2366 (0.8332)	Prec@1 65.625 (78.032)	Prec@5 90.625 (94.192)
Test: [80/391]	Time 0.080 (0.151)	Loss 0.7563 (0.8312)	Prec@1 77.344 (77.932)	Prec@5 96.875 (94.377)
Test: [85/391]	Time 0.348 (0.151)	Loss 0.5875 (0.8204)	Prec@1 82.031 (78.143)	Prec@5 99.219 (94.513)
Test: [90/391]	Time 0.087 (0.148)	Loss 0.9454 (0.8285)	Prec@1 65.625 (77.919)	Prec@5 95.312 (94.454)
Test: [95/391]	Time 0.087 (0.145)	Loss 0.5675 (0.8291)	Prec@1 83.594 (77.645)	Prec@5 97.656 (94.548)
Test: [100/391]	Time 0.077 (0.142)	Loss 0.7035 (0.8229)	Prec@1 81.250 (77.700)	Prec@5 95.312 (94.640)
Test: [105/391]	Time 0.074 (0.139)	Loss 0.9793 (0.8189)	Prec@1 75.781 (77.698)	Prec@5 93.750 (94.693)
Test: [110/391]	Time 0.088 (0.142)	Loss 1.0749 (0.8269)	Prec@1 59.375 (77.449)	Prec@5 96.094 (94.707)
Test: [115/391]	Time 0.084 (0.140)	Loss 0.4808 (0.8215)	Prec@1 88.281 (77.680)	Prec@5 97.656 (94.760)
Test: [120/391]	Time 0.077 (0.138)	Loss 0.8170 (0.8231)	Prec@1 78.906 (77.615)	Prec@5 95.312 (94.783)
Test: [125/391]	Time 0.079 (0.138)	Loss 0.3315 (0.8270)	Prec@1 91.406 (77.604)	Prec@5 99.219 (94.736)
Test: [130/391]	Time 0.182 (0.137)	Loss 0.3785 (0.8166)	Prec@1 92.969 (77.940)	Prec@5 96.875 (94.776)
Test: [135/391]	Time 0.086 (0.137)	Loss 0.7380 (0.8138)	Prec@1 75.000 (78.004)	Prec@5 96.875 (94.784)
Test: [140/391]	Time 0.261 (0.136)	Loss 1.1608 (0.8167)	Prec@1 66.406 (77.820)	Prec@5 93.750 (94.808)
Test: [145/391]	Time 0.160 (0.135)	Loss 1.1531 (0.8159)	Prec@1 78.125 (77.997)	Prec@5 92.969 (94.793)
Test: [150/391]	Time 0.084 (0.134)	Loss 0.8833 (0.8238)	Prec@1 68.750 (77.784)	Prec@5 95.312 (94.697)
Test: [155/391]	Time 0.076 (0.134)	Loss 0.8848 (0.8234)	Prec@1 83.594 (77.980)	Prec@5 91.406 (94.641)
Test: [160/391]	Time 0.088 (0.133)	Loss 0.8272 (0.8317)	Prec@1 78.906 (77.785)	Prec@5 92.969 (94.560)
Test: [165/391]	Time 0.088 (0.137)	Loss 1.2796 (0.8551)	Prec@1 64.844 (77.278)	Prec@5 90.625 (94.362)
Test: [170/391]	Time 0.083 (0.136)	Loss 1.7475 (0.8642)	Prec@1 60.156 (77.102)	Prec@5 85.938 (94.253)
Test: [175/391]	Time 0.079 (0.134)	Loss 0.6924 (0.8777)	Prec@1 81.250 (76.798)	Prec@5 93.750 (94.074)
Test: [180/391]	Time 0.089 (0.135)	Loss 1.9477 (0.8952)	Prec@1 54.688 (76.472)	Prec@5 85.156 (93.875)
Test: [185/391]	Time 0.096 (0.134)	Loss 1.0292 (0.9098)	Prec@1 76.562 (76.222)	Prec@5 89.844 (93.649)
Test: [190/391]	Time 0.084 (0.135)	Loss 1.8489 (0.9296)	Prec@1 58.594 (75.802)	Prec@5 83.594 (93.460)
Test: [195/391]	Time 0.088 (0.134)	Loss 2.0766 (0.9466)	Prec@1 57.812 (75.522)	Prec@5 82.031 (93.240)
Test: [200/391]	Time 0.143 (0.133)	Loss 1.0125 (0.9592)	Prec@1 68.750 (75.206)	Prec@5 92.969 (93.101)
Test: [205/391]	Time 0.087 (0.132)	Loss 1.4597 (0.9707)	Prec@1 60.156 (74.867)	Prec@5 87.500 (92.961)
Test: [210/391]	Time 0.086 (0.131)	Loss 1.5121 (0.9797)	Prec@1 67.188 (74.711)	Prec@5 85.938 (92.839)
Test: [215/391]	Time 0.081 (0.131)	Loss 1.0139 (0.9857)	Prec@1 76.562 (74.562)	Prec@5 89.062 (92.752)
Test: [220/391]	Time 0.086 (0.131)	Loss 0.6489 (0.9887)	Prec@1 85.156 (74.551)	Prec@5 95.312 (92.665)
Test: [225/391]	Time 0.084 (0.131)	Loss 0.8984 (0.9888)	Prec@1 75.000 (74.602)	Prec@5 94.531 (92.651)
Test: [230/391]	Time 0.102 (0.132)	Loss 1.8144 (1.0023)	Prec@1 60.156 (74.368)	Prec@5 82.031 (92.482)
Test: [235/391]	Time 0.087 (0.131)	Loss 1.2776 (1.0128)	Prec@1 68.750 (74.166)	Prec@5 90.625 (92.346)
Test: [240/391]	Time 0.088 (0.130)	Loss 1.1907 (1.0102)	Prec@1 78.906 (74.319)	Prec@5 88.281 (92.337)
Test: [245/391]	Time 0.100 (0.130)	Loss 0.8216 (1.0237)	Prec@1 78.906 (73.977)	Prec@5 92.188 (92.156)
Test: [250/391]	Time 0.085 (0.130)	Loss 0.6897 (1.0345)	Prec@1 79.688 (73.705)	Prec@5 96.094 (92.029)
Test: [255/391]	Time 0.092 (0.130)	Loss 1.5911 (1.0447)	Prec@1 67.188 (73.572)	Prec@5 88.281 (91.901)
Test: [260/391]	Time 0.327 (0.130)	Loss 1.2716 (1.0556)	Prec@1 64.062 (73.258)	Prec@5 89.844 (91.801)
Test: [265/391]	Time 0.090 (0.129)	Loss 0.8481 (1.0591)	Prec@1 80.469 (73.241)	Prec@5 92.969 (91.741)
Test: [270/391]	Time 0.080 (0.128)	Loss 1.8013 (1.0636)	Prec@1 53.125 (73.120)	Prec@5 85.938 (91.715)
Test: [275/391]	Time 0.080 (0.129)	Loss 1.6538 (1.0663)	Prec@1 62.500 (73.092)	Prec@5 88.281 (91.670)
Test: [280/391]	Time 0.084 (0.129)	Loss 1.4250 (1.0714)	Prec@1 60.156 (72.959)	Prec@5 85.938 (91.612)
Test: [285/391]	Time 0.080 (0.128)	Loss 1.9333 (1.0784)	Prec@1 59.375 (72.897)	Prec@5 75.781 (91.477)
Test: [290/391]	Time 0.082 (0.128)	Loss 1.6524 (1.0841)	Prec@1 43.750 (72.750)	Prec@5 89.844 (91.393)
Test: [295/391]	Time 0.098 (0.127)	Loss 0.7201 (1.0880)	Prec@1 83.594 (72.683)	Prec@5 94.531 (91.343)
Test: [300/391]	Time 0.117 (0.126)	Loss 1.1529 (1.0950)	Prec@1 78.125 (72.607)	Prec@5 84.375 (91.232)
Test: [305/391]	Time 0.092 (0.127)	Loss 1.2471 (1.0991)	Prec@1 64.062 (72.521)	Prec@5 87.500 (91.171)
Test: [310/391]	Time 0.097 (0.126)	Loss 1.5670 (1.1055)	Prec@1 64.844 (72.415)	Prec@5 85.156 (91.065)
Test: [315/391]	Time 0.086 (0.126)	Loss 1.6890 (1.1089)	Prec@1 65.625 (72.407)	Prec@5 82.031 (91.016)
Test: [320/391]	Time 0.078 (0.126)	Loss 0.7159 (1.1141)	Prec@1 85.938 (72.291)	Prec@5 95.312 (90.975)
Test: [325/391]	Time 0.075 (0.125)	Loss 1.0009 (1.1181)	Prec@1 74.219 (72.227)	Prec@5 91.406 (90.910)
Test: [330/391]	Time 0.087 (0.126)	Loss 1.7634 (1.1315)	Prec@1 60.156 (71.946)	Prec@5 84.375 (90.734)
Test: [335/391]	Time 0.082 (0.125)	Loss 1.8895 (1.1339)	Prec@1 57.812 (71.894)	Prec@5 78.125 (90.704)
Test: [340/391]	Time 0.388 (0.126)	Loss 0.9885 (1.1383)	Prec@1 73.438 (71.779)	Prec@5 92.969 (90.666)
Test: [345/391]	Time 0.086 (0.126)	Loss 2.5494 (1.1420)	Prec@1 49.219 (71.706)	Prec@5 68.750 (90.605)
Test: [350/391]	Time 0.092 (0.125)	Loss 1.1226 (1.1436)	Prec@1 76.562 (71.684)	Prec@5 90.625 (90.583)
Test: [355/391]	Time 0.084 (0.128)	Loss 2.1046 (1.1543)	Prec@1 40.625 (71.427)	Prec@5 85.938 (90.467)
Test: [360/391]	Time 0.085 (0.127)	Loss 1.6529 (1.1536)	Prec@1 60.938 (71.459)	Prec@5 83.594 (90.480)
Test: [365/391]	Time 0.093 (0.127)	Loss 1.0789 (1.1527)	Prec@1 73.438 (71.474)	Prec@5 90.625 (90.484)
Test: [370/391]	Time 0.089 (0.126)	Loss 1.0783 (1.1484)	Prec@1 64.062 (71.528)	Prec@5 93.750 (90.551)
Test: [375/391]	Time 0.089 (0.126)	Loss 2.2375 (1.1460)	Prec@1 44.531 (71.580)	Prec@5 78.906 (90.565)
Test: [380/391]	Time 0.088 (0.126)	Loss 0.9966 (1.1494)	Prec@1 74.219 (71.496)	Prec@5 95.312 (90.535)
Test: [385/391]	Time 0.070 (0.125)	Loss 0.6046 (1.1493)	Prec@1 78.125 (71.494)	Prec@5 96.094 (90.550)
Test: [390/391]	Time 0.251 (0.126)	Loss 2.1674 (1.1442)	Prec@1 42.500 (71.600)	Prec@5 76.250 (90.588)
 * Prec@1 71.600 Prec@5 90.588 Error@1 28.400
