=> creating model 'resnet34'
=> parameter : Namespace(arch='resnet34', batch_size=128, data='/home/user/winycg/dataset/ImageNet', epoch_prune=1, get_small=True, layer_begin=3, layer_end=3, layer_inter=1, lr=0.1, prefix='2021-12-24-2739', print_freq=5, rate=0.9, resume='/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar', save_dir='./small/resnet34/', skip_downsample=1, use_cuda=True, workers=12)
Compress Rate: 0.9
Layer Begin: 3
Layer End: 3
Layer Inter: 1
Epoch prune: 1
Skip downsample : 1
=> loading checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar'
=> loaded checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-23-5756.pth.tar' (epoch 150)
Test: [0/391]	Time 3.395 (3.395)	Loss 0.5251 (0.5251)	Prec@1 87.500 (87.500)	Prec@5 96.094 (96.094)
Test: [5/391]	Time 0.187 (0.693)	Loss 0.1883 (0.5304)	Prec@1 95.312 (86.198)	Prec@5 97.656 (95.833)
Test: [10/391]	Time 0.087 (0.417)	Loss 0.9335 (0.5267)	Prec@1 74.219 (86.719)	Prec@5 93.750 (96.236)
Test: [15/391]	Time 0.097 (0.315)	Loss 0.7452 (0.6729)	Prec@1 75.781 (82.617)	Prec@5 96.875 (95.361)
Test: [20/391]	Time 0.088 (0.261)	Loss 0.6998 (0.7499)	Prec@1 82.812 (80.543)	Prec@5 95.312 (94.680)
Test: [25/391]	Time 0.098 (0.229)	Loss 1.4578 (0.8679)	Prec@1 60.938 (77.614)	Prec@5 88.281 (93.840)
Test: [30/391]	Time 0.090 (0.206)	Loss 1.2921 (0.8873)	Prec@1 72.656 (76.663)	Prec@5 89.844 (93.926)
Test: [35/391]	Time 0.081 (0.190)	Loss 0.3460 (0.8262)	Prec@1 91.406 (78.364)	Prec@5 96.875 (94.336)
Test: [40/391]	Time 0.094 (0.183)	Loss 0.7807 (0.7920)	Prec@1 82.812 (79.249)	Prec@5 89.844 (94.455)
Test: [45/391]	Time 0.091 (0.173)	Loss 0.6444 (0.7986)	Prec@1 84.375 (79.348)	Prec@5 96.094 (94.344)
Test: [50/391]	Time 0.099 (0.172)	Loss 0.3321 (0.8112)	Prec@1 92.969 (79.228)	Prec@5 98.438 (94.225)
Test: [55/391]	Time 0.098 (0.165)	Loss 0.4991 (0.7739)	Prec@1 85.156 (80.064)	Prec@5 95.312 (94.475)
Test: [60/391]	Time 0.080 (0.168)	Loss 0.9737 (0.7620)	Prec@1 77.344 (80.341)	Prec@5 92.188 (94.557)
Test: [65/391]	Time 0.087 (0.162)	Loss 1.5340 (0.7846)	Prec@1 53.125 (79.545)	Prec@5 91.406 (94.543)
Test: [70/391]	Time 0.127 (0.158)	Loss 0.8502 (0.7903)	Prec@1 69.531 (79.302)	Prec@5 97.656 (94.652)
Test: [75/391]	Time 0.080 (0.154)	Loss 1.1475 (0.8031)	Prec@1 66.406 (78.999)	Prec@5 93.750 (94.603)
Test: [80/391]	Time 0.086 (0.150)	Loss 0.7558 (0.8013)	Prec@1 79.688 (78.877)	Prec@5 96.094 (94.743)
Test: [85/391]	Time 0.086 (0.151)	Loss 0.5335 (0.7918)	Prec@1 87.500 (79.124)	Prec@5 99.219 (94.867)
Test: [90/391]	Time 0.090 (0.148)	Loss 0.9269 (0.8002)	Prec@1 66.406 (78.880)	Prec@5 95.312 (94.789)
Test: [95/391]	Time 0.388 (0.147)	Loss 0.5287 (0.8010)	Prec@1 85.938 (78.662)	Prec@5 96.875 (94.889)
Test: [100/391]	Time 0.083 (0.144)	Loss 0.6681 (0.7960)	Prec@1 81.250 (78.628)	Prec@5 96.094 (94.988)
Test: [105/391]	Time 0.087 (0.142)	Loss 0.9590 (0.7914)	Prec@1 77.344 (78.715)	Prec@5 93.750 (95.047)
Test: [110/391]	Time 0.077 (0.142)	Loss 1.0976 (0.8003)	Prec@1 58.594 (78.449)	Prec@5 95.312 (95.038)
Test: [115/391]	Time 0.093 (0.140)	Loss 0.4615 (0.7950)	Prec@1 89.062 (78.677)	Prec@5 97.656 (95.090)
Test: [120/391]	Time 0.090 (0.141)	Loss 0.7228 (0.7968)	Prec@1 83.594 (78.648)	Prec@5 95.312 (95.099)
Test: [125/391]	Time 0.098 (0.139)	Loss 0.2770 (0.8010)	Prec@1 92.969 (78.609)	Prec@5 99.219 (95.052)
Test: [130/391]	Time 0.090 (0.138)	Loss 0.3595 (0.7911)	Prec@1 91.406 (78.924)	Prec@5 98.438 (95.092)
Test: [135/391]	Time 0.077 (0.137)	Loss 0.6923 (0.7888)	Prec@1 75.781 (78.981)	Prec@5 96.875 (95.134)
Test: [140/391]	Time 0.309 (0.137)	Loss 1.0795 (0.7908)	Prec@1 69.531 (78.812)	Prec@5 94.531 (95.185)
Test: [145/391]	Time 0.079 (0.136)	Loss 1.1527 (0.7901)	Prec@1 78.125 (78.970)	Prec@5 92.188 (95.157)
Test: [150/391]	Time 0.084 (0.135)	Loss 0.7815 (0.7971)	Prec@1 75.000 (78.782)	Prec@5 96.094 (95.085)
Test: [155/391]	Time 0.447 (0.137)	Loss 0.9126 (0.7973)	Prec@1 82.812 (78.926)	Prec@5 94.531 (95.047)
Test: [160/391]	Time 0.085 (0.136)	Loss 0.8517 (0.8053)	Prec@1 78.125 (78.732)	Prec@5 92.969 (94.953)
Test: [165/391]	Time 0.092 (0.136)	Loss 1.2982 (0.8274)	Prec@1 64.062 (78.196)	Prec@5 87.500 (94.748)
Test: [170/391]	Time 0.079 (0.134)	Loss 1.6839 (0.8372)	Prec@1 61.719 (77.997)	Prec@5 87.500 (94.623)
Test: [175/391]	Time 0.109 (0.133)	Loss 0.6380 (0.8495)	Prec@1 83.594 (77.730)	Prec@5 95.312 (94.482)
Test: [180/391]	Time 0.081 (0.133)	Loss 1.9447 (0.8676)	Prec@1 54.688 (77.365)	Prec@5 85.156 (94.268)
Test: [185/391]	Time 0.104 (0.132)	Loss 0.8884 (0.8819)	Prec@1 81.250 (77.104)	Prec@5 92.188 (94.044)
Test: [190/391]	Time 0.090 (0.132)	Loss 1.8661 (0.9021)	Prec@1 58.594 (76.632)	Prec@5 84.375 (93.836)
Test: [195/391]	Time 0.075 (0.131)	Loss 2.0076 (0.9186)	Prec@1 60.156 (76.355)	Prec@5 81.250 (93.610)
Test: [200/391]	Time 0.347 (0.131)	Loss 0.9509 (0.9308)	Prec@1 74.219 (76.057)	Prec@5 92.969 (93.474)
Test: [205/391]	Time 0.076 (0.130)	Loss 1.4277 (0.9418)	Prec@1 60.938 (75.751)	Prec@5 89.062 (93.375)
Test: [210/391]	Time 0.105 (0.129)	Loss 1.3599 (0.9493)	Prec@1 68.750 (75.641)	Prec@5 85.938 (93.276)
Test: [215/391]	Time 0.078 (0.130)	Loss 1.0392 (0.9560)	Prec@1 76.562 (75.517)	Prec@5 89.844 (93.175)
Test: [220/391]	Time 0.084 (0.129)	Loss 0.5847 (0.9585)	Prec@1 85.156 (75.523)	Prec@5 95.312 (93.100)
Test: [225/391]	Time 0.076 (0.129)	Loss 0.8852 (0.9589)	Prec@1 75.000 (75.563)	Prec@5 93.750 (93.072)
Test: [230/391]	Time 0.082 (0.130)	Loss 1.8406 (0.9728)	Prec@1 63.281 (75.315)	Prec@5 82.812 (92.908)
Test: [235/391]	Time 0.078 (0.130)	Loss 1.1571 (0.9832)	Prec@1 72.656 (75.099)	Prec@5 90.625 (92.757)
Test: [240/391]	Time 0.107 (0.129)	Loss 1.2263 (0.9806)	Prec@1 76.562 (75.240)	Prec@5 86.719 (92.748)
Test: [245/391]	Time 0.098 (0.129)	Loss 0.8059 (0.9934)	Prec@1 80.469 (74.921)	Prec@5 92.969 (92.565)
Test: [250/391]	Time 0.084 (0.128)	Loss 0.7148 (1.0050)	Prec@1 78.125 (74.602)	Prec@5 94.531 (92.433)
Test: [255/391]	Time 0.106 (0.129)	Loss 1.6708 (1.0154)	Prec@1 65.625 (74.445)	Prec@5 88.281 (92.307)
Test: [260/391]	Time 0.078 (0.128)	Loss 1.1875 (1.0255)	Prec@1 70.312 (74.159)	Prec@5 91.406 (92.232)
Test: [265/391]	Time 0.076 (0.128)	Loss 0.7816 (1.0289)	Prec@1 83.594 (74.139)	Prec@5 92.969 (92.170)
Test: [270/391]	Time 0.087 (0.127)	Loss 1.7640 (1.0339)	Prec@1 56.250 (73.997)	Prec@5 86.719 (92.121)
Test: [275/391]	Time 0.094 (0.126)	Loss 1.5571 (1.0367)	Prec@1 65.625 (73.961)	Prec@5 89.844 (92.086)
Test: [280/391]	Time 0.079 (0.126)	Loss 1.3456 (1.0408)	Prec@1 61.719 (73.891)	Prec@5 90.625 (92.062)
Test: [285/391]	Time 0.078 (0.126)	Loss 1.8779 (1.0480)	Prec@1 60.938 (73.804)	Prec@5 76.562 (91.942)
Test: [290/391]	Time 0.088 (0.126)	Loss 1.6054 (1.0534)	Prec@1 50.000 (73.674)	Prec@5 89.062 (91.860)
Test: [295/391]	Time 0.079 (0.125)	Loss 0.7269 (1.0571)	Prec@1 83.594 (73.622)	Prec@5 92.969 (91.810)
Test: [300/391]	Time 0.076 (0.125)	Loss 1.1508 (1.0634)	Prec@1 77.344 (73.554)	Prec@5 86.719 (91.710)
Test: [305/391]	Time 0.084 (0.125)	Loss 1.1936 (1.0677)	Prec@1 63.281 (73.460)	Prec@5 88.281 (91.649)
Test: [310/391]	Time 0.092 (0.125)	Loss 1.5226 (1.0735)	Prec@1 65.625 (73.357)	Prec@5 85.938 (91.562)
Test: [315/391]	Time 0.081 (0.125)	Loss 1.6311 (1.0772)	Prec@1 67.188 (73.336)	Prec@5 84.375 (91.513)
Test: [320/391]	Time 0.098 (0.126)	Loss 0.7068 (1.0822)	Prec@1 85.938 (73.228)	Prec@5 95.312 (91.465)
Test: [325/391]	Time 0.077 (0.125)	Loss 1.0143 (1.0861)	Prec@1 73.438 (73.140)	Prec@5 92.188 (91.406)
Test: [330/391]	Time 0.090 (0.126)	Loss 1.7566 (1.0991)	Prec@1 62.500 (72.843)	Prec@5 83.594 (91.253)
Test: [335/391]	Time 0.085 (0.125)	Loss 1.7133 (1.1010)	Prec@1 63.281 (72.793)	Prec@5 78.125 (91.223)
Test: [340/391]	Time 0.573 (0.126)	Loss 0.9131 (1.1050)	Prec@1 75.000 (72.672)	Prec@5 95.312 (91.186)
Test: [345/391]	Time 0.075 (0.126)	Loss 2.5128 (1.1089)	Prec@1 49.219 (72.582)	Prec@5 71.094 (91.124)
Test: [350/391]	Time 0.080 (0.125)	Loss 1.0961 (1.1108)	Prec@1 75.781 (72.556)	Prec@5 90.625 (91.095)
Test: [355/391]	Time 0.140 (0.127)	Loss 2.0565 (1.1211)	Prec@1 45.312 (72.323)	Prec@5 85.938 (90.976)
Test: [360/391]	Time 0.079 (0.126)	Loss 1.6186 (1.1204)	Prec@1 62.500 (72.362)	Prec@5 85.938 (90.984)
Test: [365/391]	Time 0.095 (0.126)	Loss 1.0542 (1.1198)	Prec@1 74.219 (72.360)	Prec@5 90.625 (90.986)
Test: [370/391]	Time 0.075 (0.125)	Loss 1.0067 (1.1151)	Prec@1 64.844 (72.414)	Prec@5 95.312 (91.057)
Test: [375/391]	Time 0.076 (0.125)	Loss 2.2637 (1.1130)	Prec@1 46.875 (72.471)	Prec@5 78.125 (91.065)
Test: [380/391]	Time 0.090 (0.125)	Loss 0.9728 (1.1170)	Prec@1 74.219 (72.373)	Prec@5 93.750 (91.027)
Test: [385/391]	Time 0.079 (0.124)	Loss 0.6266 (1.1165)	Prec@1 75.000 (72.367)	Prec@5 95.312 (91.040)
Test: [390/391]	Time 0.259 (0.125)	Loss 2.0697 (1.1116)	Prec@1 41.250 (72.478)	Prec@5 81.250 (91.078)
 * Prec@1 72.478 Prec@5 91.078 Error@1 27.522
