=> creating model 'resnet34'
=> parameter : Namespace(arch='resnet34', batch_size=128, data='/home/user/winycg/dataset/ImageNet', epoch_prune=1, get_small=True, layer_begin=3, layer_end=3, layer_inter=1, lr=0.1, prefix='2021-12-25-9954', print_freq=5, rate=0.9, resume='/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar', save_dir='./small/resnet34/', skip_downsample=1, use_cuda=True, workers=12)
Compress Rate: 0.9
Layer Begin: 3
Layer End: 3
Layer Inter: 1
Epoch prune: 1
Skip downsample : 1
=> loading checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar'
=> loaded checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar' (epoch 79)
Test: [195/391]	Time 0.083 (0.140)	Loss 2.0425 (0.9461)	Prec@1 57.031 (75.518)	Prec@5 82.812 (93.088)
Test: [200/391]	Time 0.077 (0.139)	Loss 1.1117 (0.9587)	Prec@1 69.531 (75.222)	Prec@5 91.406 (92.938)
Test: [205/391]	Time 0.078 (0.138)	Loss 1.4567 (0.9710)	Prec@1 59.375 (74.913)	Prec@5 88.281 (92.787)
Test: [210/391]	Time 0.078 (0.136)	Loss 1.2757 (0.9796)	Prec@1 70.312 (74.752)	Prec@5 89.844 (92.680)
Test: [215/391]	Time 0.083 (0.137)	Loss 1.0766 (0.9861)	Prec@1 73.438 (74.599)	Prec@5 91.406 (92.600)
Test: [220/391]	Time 0.080 (0.136)	Loss 0.6398 (0.9889)	Prec@1 82.031 (74.579)	Prec@5 96.875 (92.537)
Test: [225/391]	Time 0.090 (0.137)	Loss 0.8514 (0.9884)	Prec@1 75.000 (74.609)	Prec@5 93.750 (92.540)
Test: [230/391]	Time 0.082 (0.136)	Loss 1.9121 (1.0024)	Prec@1 59.375 (74.337)	Prec@5 79.688 (92.370)
Test: [235/391]	Time 0.121 (0.135)	Loss 1.1638 (1.0118)	Prec@1 72.656 (74.182)	Prec@5 90.625 (92.231)
Test: [240/391]	Time 0.112 (0.134)	Loss 1.2485 (1.0103)	Prec@1 74.219 (74.313)	Prec@5 87.500 (92.210)
Test: [245/391]	Time 0.090 (0.134)	Loss 0.8392 (1.0225)	Prec@1 78.906 (73.971)	Prec@5 90.625 (92.026)
Test: [250/391]	Time 0.104 (0.135)	Loss 0.7738 (1.0333)	Prec@1 80.469 (73.677)	Prec@5 89.844 (91.882)
Test: [255/391]	Time 0.086 (0.134)	Loss 1.5129 (1.0424)	Prec@1 66.406 (73.532)	Prec@5 86.719 (91.748)
Test: [260/391]	Time 0.474 (0.135)	Loss 1.2541 (1.0513)	Prec@1 65.625 (73.297)	Prec@5 89.062 (91.658)
Test: [265/391]	Time 0.080 (0.134)	Loss 0.8788 (1.0544)	Prec@1 78.125 (73.255)	Prec@5 93.750 (91.618)
Test: [270/391]	Time 0.083 (0.133)	Loss 1.7497 (1.0594)	Prec@1 54.688 (73.100)	Prec@5 84.375 (91.565)
Test: [275/391]	Time 0.088 (0.133)	Loss 1.5829 (1.0625)	Prec@1 62.500 (73.041)	Prec@5 89.844 (91.531)
Test: [280/391]	Time 0.104 (0.133)	Loss 1.3436 (1.0676)	Prec@1 63.281 (72.934)	Prec@5 88.281 (91.467)
Test: [285/391]	Time 0.101 (0.132)	Loss 1.9289 (1.0756)	Prec@1 60.938 (72.864)	Prec@5 73.438 (91.324)
Test: [290/391]	Time 0.089 (0.132)	Loss 1.7988 (1.0819)	Prec@1 47.656 (72.713)	Prec@5 85.156 (91.216)
Test: [295/391]	Time 0.099 (0.131)	Loss 0.7796 (1.0863)	Prec@1 79.688 (72.627)	Prec@5 93.750 (91.129)
Test: [300/391]	Time 0.105 (0.132)	Loss 1.2125 (1.0929)	Prec@1 75.781 (72.552)	Prec@5 86.719 (91.032)
Test: [305/391]	Time 0.102 (0.131)	Loss 1.2234 (1.0964)	Prec@1 64.062 (72.478)	Prec@5 89.062 (90.967)
Test: [310/391]	Time 0.110 (0.131)	Loss 1.4363 (1.1030)	Prec@1 65.625 (72.340)	Prec@5 89.062 (90.876)
Test: [315/391]	Time 0.092 (0.131)	Loss 1.4668 (1.1066)	Prec@1 68.750 (72.330)	Prec@5 85.938 (90.818)
Test: [320/391]	Time 0.176 (0.131)	Loss 0.8033 (1.1112)	Prec@1 82.812 (72.201)	Prec@5 94.531 (90.776)
Test: [325/391]	Time 0.087 (0.130)	Loss 1.0650 (1.1151)	Prec@1 71.094 (72.129)	Prec@5 92.188 (90.709)
Test: [330/391]	Time 0.078 (0.129)	Loss 1.8139 (1.1273)	Prec@1 57.031 (71.858)	Prec@5 79.688 (90.547)
Test: [335/391]	Time 0.083 (0.129)	Loss 1.6903 (1.1302)	Prec@1 60.156 (71.770)	Prec@5 78.906 (90.502)
Test: [340/391]	Time 0.372 (0.129)	Loss 0.9648 (1.1337)	Prec@1 69.531 (71.671)	Prec@5 92.188 (90.476)
Test: [345/391]	Time 0.092 (0.129)	Loss 2.3504 (1.1369)	Prec@1 50.000 (71.597)	Prec@5 72.656 (90.422)
Test: [350/391]	Time 0.081 (0.128)	Loss 1.2104 (1.1384)	Prec@1 71.094 (71.579)	Prec@5 88.281 (90.382)
Test: [355/391]	Time 0.089 (0.130)	Loss 2.1147 (1.1485)	Prec@1 42.969 (71.342)	Prec@5 86.719 (90.272)
Test: [360/391]	Time 0.076 (0.129)	Loss 1.5687 (1.1481)	Prec@1 58.594 (71.360)	Prec@5 88.281 (90.292)
Test: [365/391]	Time 0.095 (0.129)	Loss 1.1451 (1.1475)	Prec@1 71.094 (71.354)	Prec@5 90.625 (90.311)
Test: [370/391]	Time 0.083 (0.129)	Loss 1.0640 (1.1435)	Prec@1 65.625 (71.399)	Prec@5 96.875 (90.381)
Test: [375/391]	Time 0.085 (0.128)	Loss 2.3876 (1.1422)	Prec@1 47.656 (71.451)	Prec@5 71.875 (90.372)
Test: [380/391]	Time 0.072 (0.128)	Loss 0.9340 (1.1463)	Prec@1 75.781 (71.350)	Prec@5 95.312 (90.326)
Test: [385/391]	Time 0.076 (0.127)	Loss 0.6207 (1.1459)	Prec@1 75.000 (71.322)	Prec@5 96.094 (90.344)
Test: [390/391]	Time 0.266 (0.128)	Loss 2.2214 (1.1410)	Prec@1 37.500 (71.436)	Prec@5 77.500 (90.384)
 * Prec@1 71.436 Prec@5 90.384 Error@1 28.564
