=> creating model 'resnet34'
=> parameter : Namespace(arch='resnet34', batch_size=128, data='/home/user/winycg/dataset/ImageNet', epoch_prune=1, get_small=True, layer_begin=3, layer_end=3, layer_inter=1, lr=0.1, prefix='2021-12-26-443', print_freq=5, rate=0.9, resume='/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar', save_dir='./small/resnet34/', skip_downsample=1, use_cuda=True, workers=12)
Compress Rate: 0.9
Layer Begin: 3
Layer End: 3
Layer Inter: 1
Epoch prune: 1
Skip downsample : 1
=> loading checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar'
=> loaded checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar' (epoch 100)
Test: [0/391]	Time 2.943 (2.943)	Loss 0.5550 (0.5550)	Prec@1 88.281 (88.281)	Prec@5 96.094 (96.094)
Test: [5/391]	Time 0.092 (0.565)	Loss 0.2328 (0.5527)	Prec@1 92.969 (85.677)	Prec@5 97.656 (95.833)
Test: [10/391]	Time 0.101 (0.353)	Loss 1.0175 (0.5626)	Prec@1 72.656 (85.938)	Prec@5 92.969 (95.810)
Test: [15/391]	Time 0.080 (0.295)	Loss 0.8458 (0.7160)	Prec@1 70.312 (81.152)	Prec@5 96.094 (94.678)
Test: [20/391]	Time 0.109 (0.249)	Loss 0.7364 (0.7798)	Prec@1 85.938 (79.427)	Prec@5 93.750 (94.010)
Test: [25/391]	Time 0.109 (0.221)	Loss 1.4495 (0.8940)	Prec@1 63.281 (76.262)	Prec@5 88.281 (93.209)
Test: [30/391]	Time 0.098 (0.208)	Loss 1.2917 (0.9085)	Prec@1 71.094 (75.454)	Prec@5 89.062 (93.322)
Test: [35/391]	Time 0.079 (0.191)	Loss 0.4256 (0.8506)	Prec@1 89.844 (77.322)	Prec@5 96.094 (93.728)
Test: [40/391]	Time 0.081 (0.184)	Loss 0.7878 (0.8146)	Prec@1 80.469 (78.335)	Prec@5 91.406 (93.960)
Test: [45/391]	Time 0.090 (0.174)	Loss 0.7902 (0.8229)	Prec@1 80.469 (78.448)	Prec@5 94.531 (93.750)
Test: [50/391]	Time 0.255 (0.170)	Loss 0.4109 (0.8349)	Prec@1 89.844 (78.186)	Prec@5 98.438 (93.704)
Test: [55/391]	Time 0.107 (0.163)	Loss 0.4983 (0.8003)	Prec@1 87.500 (79.074)	Prec@5 96.094 (94.029)
Test: [60/391]	Time 0.088 (0.158)	Loss 0.9859 (0.7868)	Prec@1 74.219 (79.406)	Prec@5 90.625 (94.083)
Test: [65/391]	Time 0.109 (0.154)	Loss 1.5456 (0.8114)	Prec@1 51.562 (78.634)	Prec@5 92.969 (94.022)
Test: [70/391]	Time 0.085 (0.150)	Loss 0.9106 (0.8180)	Prec@1 69.531 (78.356)	Prec@5 96.875 (94.113)
Test: [75/391]	Time 0.091 (0.152)	Loss 1.0606 (0.8306)	Prec@1 72.656 (78.053)	Prec@5 92.969 (94.069)
Test: [80/391]	Time 0.097 (0.149)	Loss 0.7943 (0.8286)	Prec@1 80.469 (78.048)	Prec@5 96.094 (94.223)
Test: [85/391]	Time 0.087 (0.146)	Loss 0.5707 (0.8217)	Prec@1 82.031 (78.243)	Prec@5 99.219 (94.295)
Test: [90/391]	Time 0.089 (0.144)	Loss 0.9407 (0.8301)	Prec@1 64.062 (78.091)	Prec@5 94.531 (94.248)
Test: [95/391]	Time 0.087 (0.142)	Loss 0.5281 (0.8306)	Prec@1 86.719 (77.905)	Prec@5 96.094 (94.336)
Test: [100/391]	Time 0.110 (0.140)	Loss 0.7422 (0.8257)	Prec@1 82.031 (77.885)	Prec@5 93.750 (94.415)
Test: [105/391]	Time 0.094 (0.145)	Loss 0.8966 (0.8203)	Prec@1 74.219 (77.867)	Prec@5 96.094 (94.494)
Test: [110/391]	Time 0.095 (0.143)	Loss 1.1702 (0.8298)	Prec@1 53.906 (77.569)	Prec@5 93.750 (94.468)
Test: [115/391]	Time 0.078 (0.141)	Loss 0.5580 (0.8241)	Prec@1 89.062 (77.869)	Prec@5 94.531 (94.511)
Test: [120/391]	Time 0.096 (0.148)	Loss 0.6757 (0.8247)	Prec@1 82.812 (77.847)	Prec@5 96.875 (94.551)
Test: [125/391]	Time 0.083 (0.145)	Loss 0.3338 (0.8283)	Prec@1 92.188 (77.772)	Prec@5 99.219 (94.525)
Test: [130/391]	Time 0.082 (0.148)	Loss 0.3278 (0.8177)	Prec@1 92.188 (78.113)	Prec@5 98.438 (94.579)
Test: [135/391]	Time 0.079 (0.146)	Loss 0.7961 (0.8151)	Prec@1 75.781 (78.240)	Prec@5 95.312 (94.600)
Test: [140/391]	Time 0.764 (0.149)	Loss 1.1398 (0.8177)	Prec@1 67.188 (78.047)	Prec@5 96.094 (94.642)
Test: [145/391]	Time 0.106 (0.147)	Loss 1.0763 (0.8166)	Prec@1 71.875 (78.152)	Prec@5 93.750 (94.622)
Test: [150/391]	Time 0.080 (0.145)	Loss 0.8407 (0.8235)	Prec@1 75.781 (77.975)	Prec@5 95.312 (94.542)
Test: [155/391]	Time 0.097 (0.146)	Loss 0.9052 (0.8230)	Prec@1 82.812 (78.095)	Prec@5 95.312 (94.516)
